12:59:33 : Path identified is D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Balanced and D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Unbalanced 
12:59:33 : Starting the processing of Exp_1_1_OG_BGS_FCon_Train_b32e50L1e-05 
13:00:02 : Running on GPU 
13:00:02 : Model is Exp_1_1_OG_BGS_FCon_Train_b32e50L1e-05 
13:07:23 : Epoch [37/50], Loss: 0.2361, Accuracy: 0.9353, Precision: 0.9281, Recall: 0.9436, Specificity: 0.9269, F1-Score: 0.9358 
13:07:34 : Epoch [38/50], Loss: 0.3232, Accuracy: 0.9353, Precision: 0.9317, Recall: 0.9395, Specificity: 0.9311, F1-Score: 0.9356 
13:07:46 : Epoch [39/50], Loss: 0.3132, Accuracy: 0.9353, Precision: 0.9281, Recall: 0.9436, Specificity: 0.9269, F1-Score: 0.9358 
13:07:58 : Epoch [40/50], Loss: 0.4959, Accuracy: 0.9332, Precision: 0.9406, Recall: 0.9248, Specificity: 0.9415, F1-Score: 0.9326 
13:08:10 : Epoch [41/50], Loss: 0.4241, Accuracy: 0.9342, Precision: 0.9388, Recall: 0.9290, Specificity: 0.9395, F1-Score: 0.9339 
13:08:22 : Epoch [42/50], Loss: 0.3986, Accuracy: 0.9342, Precision: 0.9333, Recall: 0.9353, Specificity: 0.9332, F1-Score: 0.9343 
13:08:33 : Epoch [43/50], Loss: 0.5718, Accuracy: 0.9342, Precision: 0.9464, Recall: 0.9207, Specificity: 0.9478, F1-Score: 0.9333 
13:08:45 : Epoch [44/50], Loss: 0.3324, Accuracy: 0.9374, Precision: 0.9302, Recall: 0.9457, Specificity: 0.9290, F1-Score: 0.9379 
13:08:57 : Epoch [45/50], Loss: 0.3633, Accuracy: 0.9332, Precision: 0.9332, Recall: 0.9332, Specificity: 0.9332, F1-Score: 0.9332 
13:09:09 : Epoch [46/50], Loss: 0.3842, Accuracy: 0.9342, Precision: 0.9280, Recall: 0.9415, Specificity: 0.9269, F1-Score: 0.9347 
13:09:21 : Epoch [47/50], Loss: 0.0690, Accuracy: 0.9332, Precision: 0.9158, Recall: 0.9541, Specificity: 0.9123, F1-Score: 0.9346 
13:09:33 : Epoch [48/50], Loss: 0.2659, Accuracy: 0.9332, Precision: 0.9226, Recall: 0.9457, Specificity: 0.9207, F1-Score: 0.9340 
13:09:44 : Epoch [49/50], Loss: 0.3779, Accuracy: 0.9342, Precision: 0.9280, Recall: 0.9415, Specificity: 0.9269, F1-Score: 0.9347 
13:09:56 : Epoch [50/50], Loss: 0.3743, Accuracy: 0.9363, Precision: 0.9336, Recall: 0.9395, Specificity: 0.9332, F1-Score: 0.9365 
13:11:54 : Test Loss: 0.3504, Test Accuracy: 0.9436, Test Precision: 0.3497, Test Recall: 0.9828, Test Specificity: 0.9423, Test F1-Score: 0.5159 
13:11:54 : Total Time taken: 741.4169833000014 Seconds 
13:23:07 : Path identified is D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Balanced and D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Unbalanced 
13:23:07 : Starting the processing of Exp_1_1_OG_BGS_FCon_Train_b32e100L0.0001 
