14:23:40 : Path identified is D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Balanced and D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Unbalanced 
14:23:40 : Starting the processing of Exp_1_1_OG_BGS_FCon_Train_GeLU_b32e50L0.0001 
14:24:10 : Running on GPU 
14:24:10 : Model is Exp_1_1_OG_BGS_FCon_Train_GeLU_b32e50L0.0001 
14:31:31 : Epoch [37/50], Loss: 0.0119, Accuracy: 0.9426, Precision: 0.9240, Recall: 0.9645, Specificity: 0.9207, F1-Score: 0.9438 
14:31:43 : Epoch [38/50], Loss: 0.0101, Accuracy: 0.9447, Precision: 0.9260, Recall: 0.9666, Specificity: 0.9228, F1-Score: 0.9459 
14:31:55 : Epoch [39/50], Loss: 0.0171, Accuracy: 0.9405, Precision: 0.9378, Recall: 0.9436, Specificity: 0.9374, F1-Score: 0.9407 
14:32:07 : Epoch [40/50], Loss: 0.0179, Accuracy: 0.9384, Precision: 0.9357, Recall: 0.9415, Specificity: 0.9353, F1-Score: 0.9386 
14:32:19 : Epoch [41/50], Loss: 0.0157, Accuracy: 0.9426, Precision: 0.9223, Recall: 0.9666, Specificity: 0.9186, F1-Score: 0.9439 
14:32:31 : Epoch [42/50], Loss: 0.0040, Accuracy: 0.9415, Precision: 0.9308, Recall: 0.9541, Specificity: 0.9290, F1-Score: 0.9423 
14:32:43 : Epoch [43/50], Loss: 0.0170, Accuracy: 0.9384, Precision: 0.9375, Recall: 0.9395, Specificity: 0.9374, F1-Score: 0.9385 
14:32:55 : Epoch [44/50], Loss: 0.0139, Accuracy: 0.9436, Precision: 0.9259, Recall: 0.9645, Specificity: 0.9228, F1-Score: 0.9448 
14:33:07 : Epoch [45/50], Loss: 0.0116, Accuracy: 0.9405, Precision: 0.9254, Recall: 0.9582, Specificity: 0.9228, F1-Score: 0.9415 
14:33:19 : Epoch [46/50], Loss: 0.0172, Accuracy: 0.9415, Precision: 0.9379, Recall: 0.9457, Specificity: 0.9374, F1-Score: 0.9418 
14:33:31 : Epoch [47/50], Loss: 0.0192, Accuracy: 0.9405, Precision: 0.9360, Recall: 0.9457, Specificity: 0.9353, F1-Score: 0.9408 
14:33:43 : Epoch [48/50], Loss: 0.0078, Accuracy: 0.9405, Precision: 0.9324, Recall: 0.9499, Specificity: 0.9311, F1-Score: 0.9411 
14:33:55 : Epoch [49/50], Loss: 0.0101, Accuracy: 0.9405, Precision: 0.9271, Recall: 0.9562, Specificity: 0.9248, F1-Score: 0.9414 
14:34:07 : Epoch [50/50], Loss: 0.0084, Accuracy: 0.9405, Precision: 0.9271, Recall: 0.9562, Specificity: 0.9248, F1-Score: 0.9414 
14:36:04 : Test Loss: 0.6969, Test Accuracy: 0.9362, Test Precision: 0.3228, Test Recall: 0.9885, Test Specificity: 0.9345, Test F1-Score: 0.4866 
14:36:04 : Total Time taken: 743.8619880999977 Seconds 
