13:43:49 : Path identified is D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Balanced and D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Unbalanced 
13:43:49 : Starting the processing of Exp_1_1_OG_BGS_FCon_Train_b32e100L0.0001 
13:44:18 : Running on GPU 
13:44:18 : Model is Exp_1_1_OG_BGS_FCon_Train_b32e100L0.0001 
13:51:38 : Epoch [37/100], Loss: 0.1683, Accuracy: 0.9415, Precision: 0.9172, Recall: 0.9708, Specificity: 0.9123, F1-Score: 0.9432 
13:51:50 : Epoch [38/100], Loss: 0.1509, Accuracy: 0.9415, Precision: 0.9188, Recall: 0.9687, Specificity: 0.9144, F1-Score: 0.9431 
13:52:02 : Epoch [39/100], Loss: 0.1075, Accuracy: 0.9436, Precision: 0.9242, Recall: 0.9666, Specificity: 0.9207, F1-Score: 0.9449 
13:52:14 : Epoch [40/100], Loss: 0.1334, Accuracy: 0.9436, Precision: 0.9225, Recall: 0.9687, Specificity: 0.9186, F1-Score: 0.9450 
13:52:25 : Epoch [41/100], Loss: 0.1174, Accuracy: 0.9405, Precision: 0.9220, Recall: 0.9624, Specificity: 0.9186, F1-Score: 0.9418 
13:52:37 : Epoch [42/100], Loss: 0.0605, Accuracy: 0.9363, Precision: 0.9248, Recall: 0.9499, Specificity: 0.9228, F1-Score: 0.9372 
13:52:50 : Epoch [43/100], Loss: 0.0751, Accuracy: 0.9384, Precision: 0.9251, Recall: 0.9541, Specificity: 0.9228, F1-Score: 0.9394 
13:53:01 : Epoch [44/100], Loss: 0.1068, Accuracy: 0.9384, Precision: 0.9217, Recall: 0.9582, Specificity: 0.9186, F1-Score: 0.9396 
13:53:13 : Epoch [45/100], Loss: 0.1801, Accuracy: 0.9415, Precision: 0.9188, Recall: 0.9687, Specificity: 0.9144, F1-Score: 0.9431 
13:53:25 : Epoch [46/100], Loss: 0.1658, Accuracy: 0.9415, Precision: 0.9188, Recall: 0.9687, Specificity: 0.9144, F1-Score: 0.9431 
13:53:37 : Epoch [47/100], Loss: 0.1839, Accuracy: 0.9415, Precision: 0.9188, Recall: 0.9687, Specificity: 0.9144, F1-Score: 0.9431 
13:53:49 : Epoch [48/100], Loss: 0.1603, Accuracy: 0.9426, Precision: 0.9206, Recall: 0.9687, Specificity: 0.9165, F1-Score: 0.9440 
13:54:01 : Epoch [49/100], Loss: 0.0576, Accuracy: 0.9374, Precision: 0.9302, Recall: 0.9457, Specificity: 0.9290, F1-Score: 0.9379 
13:54:12 : Epoch [50/100], Loss: 0.0686, Accuracy: 0.9363, Precision: 0.9265, Recall: 0.9478, Specificity: 0.9248, F1-Score: 0.9370 
13:54:24 : Epoch [51/100], Loss: 0.1160, Accuracy: 0.9415, Precision: 0.9238, Recall: 0.9624, Specificity: 0.9207, F1-Score: 0.9427 
13:54:37 : Epoch [52/100], Loss: 0.0930, Accuracy: 0.9436, Precision: 0.9276, Recall: 0.9624, Specificity: 0.9248, F1-Score: 0.9447 
13:54:48 : Epoch [53/100], Loss: 0.0619, Accuracy: 0.9363, Precision: 0.9318, Recall: 0.9415, Specificity: 0.9311, F1-Score: 0.9367 
13:55:00 : Epoch [54/100], Loss: 0.2000, Accuracy: 0.9415, Precision: 0.9188, Recall: 0.9687, Specificity: 0.9144, F1-Score: 0.9431 
13:55:12 : Epoch [55/100], Loss: 0.0957, Accuracy: 0.9395, Precision: 0.9253, Recall: 0.9562, Specificity: 0.9228, F1-Score: 0.9405 
13:55:24 : Epoch [56/100], Loss: 0.1534, Accuracy: 0.9426, Precision: 0.9223, Recall: 0.9666, Specificity: 0.9186, F1-Score: 0.9439 
13:55:36 : Epoch [57/100], Loss: 0.0695, Accuracy: 0.9384, Precision: 0.9286, Recall: 0.9499, Specificity: 0.9269, F1-Score: 0.9391 
